year,title,genre,vote_average,award,winner
1982,Tootsie,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Supporting Role,1
1983,Educating Rita,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.2,Actor in a Leading Role,
1983,"Reuben, Reuben","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actor in a Leading Role,
1983,The Dresser,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Leading Role,
1983,Tender Mercies,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7.4,Actor in a Leading Role,1
1983,The Right Stuff,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.3,Actor in a Supporting Role,
1983,Yentl,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.2,Actress in a Supporting Role,
1984,Amadeus,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10402, ""name"": ""Music""}]",7.8,Actor in a Leading Role,1
1984,Amadeus,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10402, ""name"": ""Music""}]",7.8,Actor in a Leading Role,
1984,The Karate Kid,"[{""id"": 18, ""name"": ""Drama""}]",6.9,Actor in a Supporting Role,
1984,A Passage to India,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}]",6.9,Actress in a Leading Role,
1984,A Passage to India,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}]",6.9,Actress in a Supporting Role,1
1985,Murphy's Romance,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",7,Actor in a Leading Role,
1985,Prizzi's Honor,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",6.8,Actor in a Leading Role,
1985,Runaway Train,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7.3,Actor in a Leading Role,
1985,Witness,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",7,Actor in a Leading Role,
1985,Kiss of the Spider Woman,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor in a Leading Role,1
1985,Out of Africa,"[{""id"": 18, ""name"": ""Drama""}]",7,Actor in a Supporting Role,
1985,The Color Purple,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Leading Role,
1985,Out of Africa,"[{""id"": 18, ""name"": ""Drama""}]",7,Actress in a Leading Role,
1985,The Color Purple,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Supporting Role,
1985,The Color Purple,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Supporting Role,
1986,The Color of Money,"[{""id"": 18, ""name"": ""Drama""}]",6.7,Actor in a Leading Role,1
1986,Salvador,"[{""id"": 18, ""name"": ""Drama""}]",7,Actor in a Leading Role,
1986,Platoon,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}]",7.5,Actor in a Supporting Role,
1986,Platoon,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}]",7.5,Actor in a Supporting Role,
1986,Peggy Sue Got Married,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",5.9,Actress in a Leading Role,
1986,Aliens,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",7.7,Actress in a Leading Role,
1986,The Color of Money,"[{""id"": 18, ""name"": ""Drama""}]",6.7,Actress in a Supporting Role,
1987,Wall Street,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7,Actor in a Leading Role,1
1987,"Good Morning, Vietnam","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",7.1,Actor in a Leading Role,
1987,The Untouchables,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",7.6,Actor in a Supporting Role,1
1987,Cry Freedom,"[{""id"": 18, ""name"": ""Drama""}]",6.9,Actor in a Supporting Role,
1987,Fatal Attraction,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",6.6,Actress in a Leading Role,
1987,Fatal Attraction,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",6.6,Actress in a Supporting Role,
1988,Big,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10751, ""name"": ""Family""}]",6.9,Actor in a Leading Role,
1988,Rain Man,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actor in a Leading Role,1
1988,Dangerous Liaisons,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7,Actress in a Leading Role,
1988,Dangerous Liaisons,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7,Actress in a Supporting Role,
1989,My Left Foot,"[{""id"": 18, ""name"": ""Drama""}]",7.9,Actor in a Leading Role,1
1989,Henry V,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actor in a Leading Role,
1989,Born on the Fourth of July,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",6.7,Actor in a Leading Role,
1989,Driving Miss Daisy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7,Actor in a Leading Role,
1989,Dead Poets Society,"[{""id"": 18, ""name"": ""Drama""}]",8.1,Actor in a Leading Role,
1989,Do the Right Thing,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actor in a Supporting Role,
1989,Driving Miss Daisy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7,Actor in a Supporting Role,
1989,Glory,"[{""id"": 10752, ""name"": ""War""}]",7.4,Actor in a Supporting Role,1
1989,Driving Miss Daisy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7,Actress in a Leading Role,1
1990,The Field,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7.4,Actor in a Leading Role,
1990,Reversal of fortune,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.3,Actor in a Leading Role,1
1990,Cyrano de Bergerac,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",7.6,Actor in a Leading Role,
1990,Awakenings,"[{""id"": 18, ""name"": ""Drama""}]",7.8,Actor in a Leading Role,
1990,Dances with Wolves,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",7.6,Actor in a Leading Role,
1990,Dances with Wolves,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",7.6,Actor in a Supporting Role,
1990,Dick Tracy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",5.9,Actor in a Supporting Role,
1990,Pretty Woman,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",7,Actress in a Leading Role,
1990,Ghost,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Supporting Role,1
1990,Dances with Wolves,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",7.6,Actress in a Supporting Role,
1991,Cape Fear,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",7,Actor in a Leading Role,
1991,The Silence of the Lambs,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",8.1,Actor in a Leading Role,1
1991,The Prince of Tides,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",5.9,Actor in a Leading Role,
1991,The Fisher King,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.2,Actor in a Leading Role,
1991,JFK,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 36, ""name"": ""History""}]",7.5,Actor in a Supporting Role,
1991,The Silence of the Lambs,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",8.1,Actress in a Leading Role,1
1991,Cape Fear,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",7,Actress in a Supporting Role,
1991,The Prince of Tides,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",5.9,Actress in a Supporting Role,
1991,The Fisher King,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.2,Actress in a Supporting Role,1
1992,Unforgiven,"[{""id"": 37, ""name"": ""Western""}]",7.7,Actor in a Leading Role,
1992,The Crying Game,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.9,Actor in a Leading Role,
1992,Scent of a Woman,"[{""id"": 18, ""name"": ""Drama""}]",8,Actor in a Leading Role,1
1992,Chaplin,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.6,Actor in a Leading Role,
1992,Malcolm X,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.2,Actor in a Leading Role,
1992,The Crying Game,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",6.9,Actor in a Supporting Role,
1992,Unforgiven,"[{""id"": 37, ""name"": ""Western""}]",7.7,Actor in a Supporting Role,1
1992,A Few Good Men,"[{""id"": 18, ""name"": ""Drama""}]",7.1,Actor in a Supporting Role,
1992,Glengarry Glen Ross,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.5,Actor in a Supporting Role,
1992,Howards End,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Leading Role,1
1992,Howards End,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.9,Actress in a Supporting Role,
1992,My Cousin Vinny,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.3,Actress in a Supporting Role,1
1993,What's Love Got to Do with It,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",6.9,Actor in a Leading Role,
1993,Philadelphia,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actor in a Leading Role,1
1993,The Remains of the Day,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.5,Actor in a Leading Role,
1993,Schindler's List,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",8.3,Actor in a Leading Role,
1993,What's Eating Gilbert Grape,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Supporting Role,
1993,Schindler's List,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",8.3,Actor in a Supporting Role,
1993,The Fugitive,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",7.2,Actor in a Supporting Role,1
1993,What's Love Got to Do with It,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",6.9,Actress in a Leading Role,
1993,The Piano,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.1,Actress in a Leading Role,1
1993,The Remains of the Day,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.5,Actress in a Leading Role,
1993,Shadowlands,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.8,Actress in a Leading Role,
1993,The Firm,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",6.6,Actress in a Supporting Role,
1993,The Piano,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.1,Actress in a Supporting Role,1
1993,The Age of Innocence,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7,Actress in a Supporting Role,
1994,The Shawshank Redemption,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",8.5,Actor in a Leading Role,
1994,Forrest Gump,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.2,Actor in a Leading Role,1
1994,Pulp Fiction,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",8.3,Actor in a Leading Role,
1994,Pulp Fiction,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",8.3,Actor in a Supporting Role,
1994,Ed Wood,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.3,Actor in a Supporting Role,1
1994,Bullets Over Broadway,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",7,Actor in a Supporting Role,
1994,Forrest Gump,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.2,Actor in a Supporting Role,
1994,Little Women,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7,Actress in a Leading Role,
1994,The Client,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",6.4,Actress in a Leading Role,
1994,Pulp Fiction,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",8.3,Actress in a Supporting Role,
1994,Bullets Over Broadway,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",7,Actress in a Supporting Role,
1994,Bullets Over Broadway,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",7,Actress in a Supporting Role,1
1995,Leaving Las Vegas,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.1,Actor in a Leading Role,1
1995,Mr. Holland's Opus,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",6.9,Actor in a Leading Role,
1995,Nixon,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",7.1,Actor in a Leading Role,
1995,Dead Man Walking,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actor in a Leading Role,
1995,Babe,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",6,Actor in a Supporting Role,
1995,Apollo 13,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actor in a Supporting Role,
1995,Rob Roy,"[{""id"": 12, ""name"": ""Adventure""}]",6.5,Actor in a Supporting Role,
1995,The Usual Suspects,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",8.1,Actor in a Supporting Role,1
1995,Dead Man Walking,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actress in a Leading Role,1
1995,Leaving Las Vegas,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.1,Actress in a Leading Role,
1995,Casino,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",7.8,Actress in a Leading Role,
1995,The Bridges of Madison County,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actress in a Leading Role,
1995,Sense and Sensibility,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actress in a Leading Role,
1995,Nixon,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",7.1,Actress in a Supporting Role,
1995,Apollo 13,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actress in a Supporting Role,
1995,Sense and Sensibility,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actress in a Supporting Role,
1995,Toy Story,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",7.7,Special Achievement Award,1
1996,Jerry Maguire,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor in a Leading Role,
1996,The English Patient,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7,Actor in a Leading Role,
1996,Shine,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actor in a Leading Role,1
1996,Sling Blade,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor in a Leading Role,
1996,Jerry Maguire,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor in a Supporting Role,1
1996,Shine,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actor in a Supporting Role,
1996,Ghosts of Mississippi,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",6.2,Actor in a Supporting Role,
1996,Marvin's Room,"[{""id"": 18, ""name"": ""Drama""}]",6.6,Actress in a Leading Role,
1996,The English Patient,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7,Actress in a Leading Role,
1996,The Mirror Has Two Faces,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.5,Actress in a Supporting Role,
1996,The English Patient,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7,Actress in a Supporting Role,1
1997,Good Will Hunting,"[{""id"": 18, ""name"": ""Drama""}]",7.9,Actor in a Leading Role,
1997,The Apostle,"[{""id"": 18, ""name"": ""Drama""}]",6.1,Actor in a Leading Role,
1997,Ulee's Gold,"[{""id"": 18, ""name"": ""Drama""}]",6.5,Actor in a Leading Role,
1997,Wag the Dog,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6.7,Actor in a Leading Role,
1997,As Good as It Gets,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actor in a Leading Role,1
1997,Jackie Brown,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",7.3,Actor in a Supporting Role,
1997,Amistad,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 9648, ""name"": ""Mystery""}]",6.8,Actor in a Supporting Role,
1997,As Good as It Gets,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actor in a Supporting Role,
1997,Boogie Nights,"[{""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Supporting Role,
1997,Good Will Hunting,"[{""id"": 18, ""name"": ""Drama""}]",7.9,Actor in a Supporting Role,1
1997,As Good as It Gets,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actress in a Leading Role,1
1997,Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",7.5,Actress in a Leading Role,
1997,L.A. Confidential,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",7.7,Actress in a Supporting Role,1
1997,In & Out,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",6.3,Actress in a Supporting Role,
1997,Good Will Hunting,"[{""id"": 18, ""name"": ""Drama""}]",7.9,Actress in a Supporting Role,
1997,Boogie Nights,"[{""id"": 18, ""name"": ""Drama""}]",7.5,Actress in a Supporting Role,
1997,Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",7.5,Actress in a Supporting Role,
1998,Saving Private Ryan,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.9,Actor in a Leading Role,
1998,Life is Beautiful,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",8.6,Actor in a Leading Role,1
1998,Gods and Monsters,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actor in a Leading Role,
1998,American History X,"[{""id"": 18, ""name"": ""Drama""}]",8.2,Actor in a Leading Role,
1998,A Civil Action,"[{""id"": 18, ""name"": ""Drama""}]",6.1,Actor in a Supporting Role,
1998,The Truman Show,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.8,Actor in a Supporting Role,
1998,Shakespeare in Love,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 36, ""name"": ""History""}]",6.8,Actor in a Supporting Role,
1998,A Simple Plan,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",6.9,Actor in a Supporting Role,
1998,Elizabeth,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.1,Actress in a Leading Role,
1998,Central Station,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actress in a Leading Role,
1998,Shakespeare in Love,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 36, ""name"": ""History""}]",6.8,Actress in a Leading Role,1
1998,One True Thing,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6.2,Actress in a Leading Role,
1998,Primary Colors,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6.1,Actress in a Supporting Role,
1998,Little Voice,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6.6,Actress in a Supporting Role,
1998,Shakespeare in Love,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 36, ""name"": ""History""}]",6.8,Actress in a Supporting Role,1
1998,Gods and Monsters,"[{""id"": 18, ""name"": ""Drama""}]",6.8,Actress in a Supporting Role,
1999,The Insider,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",7.3,Actor in a Leading Role,
1999,The Straight Story,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Leading Role,
1999,American Beauty,"[{""id"": 18, ""name"": ""Drama""}]",7.9,Actor in a Leading Role,1
1999,The Hurricane,"[{""id"": 18, ""name"": ""Drama""}]",7.2,Actor in a Leading Role,
1999,Magnolia,"[{""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Supporting Role,
1999,The Green Mile,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",8.2,Actor in a Supporting Role,
1999,The Talented Mr. Ripley,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7,Actor in a Supporting Role,
1999,The Sixth Sense,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Supporting Role,
1999,American Beauty,"[{""id"": 18, ""name"": ""Drama""}]",7.9,Actress in a Leading Role,
1999,Tumbleweeds,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6.2,Actress in a Leading Role,
1999,The End of the Affair,"[{""id"": 18, ""name"": ""Drama""}]",6.6,Actress in a Leading Role,
1999,Boys Don't Cry,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7.2,Actress in a Leading Role,1
1999,The Sixth Sense,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",7.7,Actress in a Supporting Role,
1999,"Girl, Interrupted","[{""id"": 18, ""name"": ""Drama""}]",7.6,Actress in a Supporting Role,1
1999,Being John Malkovich,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",7.3,Actress in a Supporting Role,
