year,title,genre,vote_average,award,winner
1953,From Here to Eternity,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actor,
1953,From Here to Eternity,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actor in a Supporting Role,1
1953,From Here to Eternity,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actress,
1953,From Here to Eternity,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.2,Actress in a Supporting Role,1
1954,On the Waterfront,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actor,1
1954,On the Waterfront,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actor in a Supporting Role,
1954,On the Waterfront,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actor in a Supporting Role,
1954,On the Waterfront,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actor in a Supporting Role,
1954,On the Waterfront,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actress in a Supporting Role,1
1957,The Bridge on the River Kwai,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.7,Actor,1
1957,The Bridge on the River Kwai,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.7,Actor in a Supporting Role,
1958,Cat on a Hot Tin Roof,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.6,Actor,
1958,Cat on a Hot Tin Roof,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.6,Actress,
1959,Some Like It Hot,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",8,Actor,
1959,The Nun's Story,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actress,
1960,Elmer Gantry,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actor,1
1960,The Apartment,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.1,Actor,
1960,The Apartment,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.1,Actor in a Supporting Role,
1960,The Apartment,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",8.1,Actress,
1960,Elmer Gantry,"[{""id"": 18, ""name"": ""Drama""}]",7.3,Actress in a Supporting Role,1
1960,Psycho,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",8.2,Actress in a Supporting Role,
1961,The Hustler,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actor,
1961,Judgment at Nuremberg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.6,Actor,1
1961,Judgment at Nuremberg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.6,Actor,
1961,West Side Story,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7,Actor in a Supporting Role,1
1961,Judgment at Nuremberg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.6,Actor in a Supporting Role,
1961,Pocketful of Miracles,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",7.3,Actor in a Supporting Role,
1961,The Hustler,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actor in a Supporting Role,
1961,The Hustler,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actor in a Supporting Role,
1961,The Hustler,"[{""id"": 18, ""name"": ""Drama""}]",7.6,Actress,
1961,Judgment at Nuremberg,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.6,Actress in a Supporting Role,
1961,West Side Story,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",7,Actress in a Supporting Role,1
1962,Lawrence of Arabia,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.8,Actor,
1962,To Kill a Mockingbird,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actor,1
1962,Lawrence of Arabia,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.8,Actor in a Supporting Role,
1962,To Kill a Mockingbird,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actress in a Supporting Role,
1963,Tom Jones,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",6.1,Actor,
1963,Cleopatra,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",6.7,Actor,
1963,Hud,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",7.5,Actor,
1963,Hud,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",7.5,Actor in a Supporting Role,1
1963,Tom Jones,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",6.1,Actor in a Supporting Role,
1963,Hud,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",7.5,Actress,1
1963,Tom Jones,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",6.1,Actress in a Supporting Role,
1963,Tom Jones,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",6.1,Actress in a Supporting Role,
1963,Tom Jones,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",6.1,Actress in a Supporting Role,
1964,My Fair Lady,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actor,1
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10752, ""name"": ""War""}]",8,Actor,
1964,My Fair Lady,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actor in a Supporting Role,
1964,Mary Poppins,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",7.4,Actress,1
1964,My Fair Lady,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actress in a Supporting Role,
1965,Doctor Zhivago,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",7.4,Actor in a Supporting Role,
1965,The Sound of Music,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actress,
1965,The Sound of Music,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actress in a Supporting Role,
1966,A Man for All Seasons,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.5,Actor,1
1966,A Man for All Seasons,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.5,Actor in a Supporting Role,
1966,A Man for All Seasons,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",7.5,Actress in a Supporting Role,
1968,Oliver!,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",7,Actor,
1968,Charly,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}]",6.6,Actor,1
1968,Oliver!,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",7,Actor in a Supporting Role,
1968,Rosemary's Baby,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",7.5,Actress in a Supporting Role,1
1968,Oliver!,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",7,Honorary Award,1
1969,Midnight Cowboy,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor,
1969,Midnight Cowboy,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actor,
1969,Midnight Cowboy,"[{""id"": 18, ""name"": ""Drama""}]",7.4,Actress in a Supporting Role,
1970,Patton,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",7.3,Actor,1
1971,The French Connection,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",7.4,Actor,1
1971,Fiddler on the Roof,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actor,
1971,Fiddler on the Roof,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",7.4,Actor in a Supporting Role,
1971,The French Connection,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",7.4,Actor in a Supporting Role,
1972,The Godfather,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",8.4,Actor,1
1972,The Godfather,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",8.4,Actor in a Supporting Role,
1972,The Godfather,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",8.4,Actor in a Supporting Role,
1972,The Godfather,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",8.4,Actor in a Supporting Role,
1972,1776,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 36, ""name"": ""History""}, {""id"": 10402, ""name"": ""Music""}]",7.1,Cinematography,
1973,The Sting,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",7.9,Actor,
1973,The Exorcist,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",7.5,Actor in a Supporting Role,
1973,The Exorcist,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",7.5,Actress,
1973,The Exorcist,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",7.5,Actress in a Supporting Role,
1973,American Graffiti,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6.9,Actress in a Supporting Role,
1974,Blazing Saddles,"[{""id"": 37, ""name"": ""Western""}, {""id"": 35, ""name"": ""Comedy""}]",7.2,Actress in a Supporting Role,
1975,One Flew Over the Cuckoo's Nest,"[{""id"": 18, ""name"": ""Drama""}]",8.2,Actor,1
1975,One Flew Over the Cuckoo's Nest,"[{""id"": 18, ""name"": ""Drama""}]",8.2,Actor in a Supporting Role,
1975,One Flew Over the Cuckoo's Nest,"[{""id"": 18, ""name"": ""Drama""}]",8.2,Actress,1
1976,Taxi Driver,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",8,Actor in a Leading Role,
1976,Network,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Leading Role,1
1976,Network,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Leading Role,
1976,Rocky,"[{""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Leading Role,
1976,Network,"[{""id"": 18, ""name"": ""Drama""}]",7.7,Actor in a Supporting Role,
1976,Rocky,"[{""id"": 18, ""name"": ""Drama""}]",7.5,Actor in a Supporting Role,
