_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold
670454524,FALSE,finalized,3,02/10/15 2:00,"London, Greater London, England, Europe",1,29-Apr-57,1,White,1,Na,1,Straight,1,2013,1,Best Actor,http://www.nndb.com/people/788/000022722/,,,Lincoln,Daniel Day-Lewis,,,,
670454666,FALSE,finalized,3,02/10/15 1:59,"London, Greater London, England, Europe",1,07-Jun-09,1,White,1,Na,1,Straight,1,1990,1,Best Actress,http://www.nndb.com/people/017/000023945/,,,Driving Miss Daisy,Jessica Tandy,,,,
670454669,FALSE,finalized,3,02/10/15 1:51,"London, Greater London, England, Europe",1,15-Apr-59,1,White,1,Na,1,Straight,1,1993,1,Best Actress,http://www.nndb.com/people/627/000025552/,,,Howards End,Emma Thompson,,,,
670454680,FALSE,finalized,3,02/10/15 2:01,"Benoni, Gauteng, South Africa, Africa",1,07-Aug-75,1,White,1,Na,1,Straight,1,2004,1,Best Actress,http://www.nndb.com/people/146/000026068/,,,Monster,Charlize Theron,,,,
670454683,FALSE,finalized,3,02/10/15 4:02,"Chiswick, Greater London, England, Europe",1,26-Jul-45,1,White,1,Na,1,Straight,1,2007,1,Best Actress,http://www.nndb.com/people/907/000044775/,,,The Queen,Helen Mirren,,,,
670454684,FALSE,finalized,3,02/10/15 2:02,"Paris, _le-de-France, France, Europe",1,30-Sep-75,1,White,1,Na,1,Straight,1,2008,1,Best Actress,http://www.nndb.com/people/723/000136315/,,,The Passionate Life of Edith Piaf,Marion Cotillard,,,,
670454685,FALSE,finalized,3,02/10/15 2:02,"Reading, Berkshire, England, Europe",1,05-Oct-75,1,White,1,Na,1,Straight,1,2009,1,Best Actress,http://www.nndb.com/people/582/000023513/,,,The Reader,Kate Winslet,,,,
670454687,FALSE,finalized,3,02/10/15 2:03,"Jerusalem, Jerusalem District, Israel, Asia",1,09-Jun-81,1,White,1,Jewish,1,Straight,1,2011,1,Best Actress,http://www.nndb.com/people/040/000022971/,,,Black Swan,Natalie Portman,,,,
670454690,FALSE,finalized,3,02/10/15 2:13,"Melbourne, Victoria, Australia, Oceania",1,14-May-69,1,White,1,Na,1,Straight,1,2014,1,Best Actress,http://www.nndb.com/people/222/000026144/,,,Blue Jasmine,Cate Blanchett,,,,
670454491,FALSE,finalized,3,2/10/15 4:14,"Los Angeles, Ca, United States, North America",1,8-Aug-37,1,White,1,Jewish,1,Straight,1,1980,1,Best Actor,http://www.nndb.com/people/882/000022816/,,,Kramer vs. Kramer,Dustin Hoffman,,,,
670454492,FALSE,finalized,3,2/10/15 2:29,"New York City, Ny, United States, North America",1,17-Aug-43,1,White,1,Roman Catholic,1,Straight,1,1981,1,Best Actor,http://www.nndb.com/people/765/000023696/,,,Raging Bull,Robert De Niro,,,,
670454493,FALSE,finalized,3,2/10/15 4:02,"Grand Island, Ne, United States, North America",1,16-May-05,1,White,1,Na,1,Straight,1,1982,1,Best Actor,http://www.nndb.com/people/496/000026418/,,,On Golden Pond,Henry Fonda,,,,
670454495,FALSE,finalized,3,2/10/15 1:52,"San Diego, Ca, United States, North America",1,5-Jan-31,1,White,1,Na,1,Straight,1,1984,1,Best Actor,http://www.nndb.com/people/008/000022939/,,,Tender Mercies,Robert Duvall,,,,
670454496,FALSE,finalized,3,2/10/15 2:03,"Pittsburgh, Pa, United States, North America",1,24-Oct-39,1,Middle Eastern,1,Na,1,Straight,1,1985,1,Best Actor,http://www.nndb.com/people/123/000024051/,,,Amadeus,F. Murray Abraham,,,,
670454497,FALSE,finalized,3,2/10/15 2:00,"Washington, Dc, United States, North America",1,20-Mar-50,1,White,1,Lutheran,1,Straight,1,1986,1,Best Actor,http://www.nndb.com/people/683/000023614/,,,Kiss of the Spider Woman,William Hurt,,,,
670454498,FALSE,finalized,3,2/10/15 2:10,"Shaker Heights, Oh, United States, North America",1,26-Jan-25,1,White,1,Jewish,1,Straight,1,1987,1,Best Actor,http://www.nndb.com/people/804/000022738/,,,The Color of Money,Paul Newman,,,,
670454499,FALSE,finalized,3,2/10/15 1:51,"New Brunswick, Nj, United States, North America",1,25-Sep-44,1,White,1,Jewish,1,Straight,1,1988,1,Best Actor,http://www.nndb.com/people/614/000024542/,,,Wall Street,Michael Douglas,,,,
670454500,FALSE,finalized,3,2/10/15 1:58,"Los Angeles, Ca, United States, North America",1,8-Aug-37,1,White,1,Jewish,1,Straight,1,1989,1,Best Actor,http://www.nndb.com/people/882/000022816/,,,Rainman,Dustin Hoffman,,,,
670454505,TRUE,golden,84,,"Concord, Ca, United States, North America",1,9-Jul-56,0.9648,White,1,Born-Again Christian,1,Straight,1,1994,1,Best Actor,http://www.nndb.com/people/687/000022621/,,9-Jul-56,Philadelphia,Tom Hanks,,Born-Again Christian,,1994
670454506,FALSE,finalized,3,2/10/15 1:56,"Concord, Ca, United States, North America",1,9-Jul-56,1,White,1,Born-Again Christian,1,Straight,1,1995,1,Best Actor,http://www.nndb.com/people/687/000022621/,,,Forrest Gump,Tom Hanks,,,,
670454507,FALSE,finalized,3,2/10/15 2:10,"Long Beach, Ca, United States, North America",1,7-Jan-64,1,White,1,Roman Catholic,1,Straight,1,1996,1,Best Actor,http://www.nndb.com/people/751/000022685/,,,Leaving Las Vegas,Nicolas Cage,,,,
670454509,FALSE,finalized,3,2/10/15 1:49,"New York City, Ny, United States, North America",1,22-Apr-37,1,White,1,Atheist,1,Straight,1,1997,1,Best Actor,http://www.nndb.com/people/722/000022656/,,,As Good as It Gets,Jack Nicholson,,,,
670454511,FALSE,finalized,3,2/10/15 4:08,"South Orange, Nj, United States, North America",1,26-Jul-59,1,White,1,Na,1,Matter of Dispute,0.6667,2000,1,Best Actor,http://www.nndb.com/people/591/000023522/,,,American Beauty,Kevin Spacey,,,,
670454513,FALSE,finalized,3,2/10/15 1:49,"Mount Vernon, Ny, United States, North America",1,28-Dec-54,1,Black,1,Protestant,1,Straight,1,2002,1,Best Actor,http://www.nndb.com/people/665/000023596/,,,Training Day,Denzel Washington,,,,
670454514,FALSE,finalized,3,2/10/15 2:05,"New York City, Ny, United States, North America",1,14-Apr-73,1,White,1,Jewish,1,Straight,1,2003,1,Best Actor,http://www.nndb.com/people/112/000026034/,,,The Pianist,Adrien Brody,,,,
670454515,FALSE,finalized,3,2/10/15 2:04,"Burbank, Ca, United States, North America",1,17-Aug-60,1,White,1,Roman Catholic,1,Straight,1,2003,1,Best Actor,http://www.nndb.com/people/331/000025256/,,,Mystic River,Sean Penn,,,,
670454516,FALSE,finalized,3,2/10/15 2:02,"Terrell, Tx, United States, North America",1,13-Dec-67,1,Black,1,Baptist,1,Straight,1,2005,1,Best Actor,http://www.nndb.com/people/113/000026035/,,,Ray,Jamie Foxx,,,,
670454517,FALSE,finalized,3,2/10/15 1:59,"Fairport, Ny, United States, North America",1,23-Jul-67,1,White,1,Na,1,Straight,1,2006,1,Best Actor,http://www.nndb.com/people/409/000027328/,,,Capote,Philip Seymour Hoffman,,,,
670454518,FALSE,finalized,3,2/10/15 2:07,"Longview, Tx, United States, North America",1,15-Jul-61,1,Black,1,Na,1,Straight,1,2007,1,Best Actor,http://www.nndb.com/people/833/000025758/,,,The Last King of Scotland,Forest Whitaker,,,,
670454520,FALSE,finalized,3,2/10/15 2:04,"Burbank, Ca, United States, North America",1,17-Aug-60,1,White,1,Roman Catholic,1,Straight,1,2009,1,Best Actor,http://www.nndb.com/people/331/000025256/,,,Milk,Sean Penn,,,,
670454521,FALSE,finalized,3,2/10/15 2:05,"Los Angeles, Ca, United States, North America",1,4-Dec-49,1,White,1,Lutheran,1,Straight,1,2010,1,Best Actor,http://www.nndb.com/people/779/000022713/,,,Crazy Heart,Jeff Bridges,,,,
670454525,FALSE,finalized,3,2/10/15 2:18,"Uvalde, Tx, United States, North America",1,4-Nov-69,1,White,1,Na,1,Straight,1,2014,1,Best Actor,http://www.nndb.com/people/583/000023514/,,,Dallas Buyers Club,Matthew McConaughey,,,,
670454656,FALSE,finalized,3,2/10/15 1:55,"Pasadena, Ca, United States, North America",1,6-Nov-46,1,White,1,Na,1,Straight,1,1980,1,Best Actress,http://www.nndb.com/people/897/000022831/,,,Norma Rae,Sally Field,,,,
670454657,FALSE,finalized,3,2/10/15 2:41,"Quitman, Tx, United States, North America",1,25-Dec-49,1,White,1,Na,0.6897,Straight,1,1981,1,Best Actress,http://www.nndb.com/people/758/000023689/,,,Coal Miner's Daughter,Sissy Spacek,,,,
670454658,FALSE,finalized,3,2/10/15 2:04,"Hartford, Ct, United States, North America",1,12-May-07,1,White,1,Atheist,1,Bisexual,1,1982,1,Best Actress,http://www.nndb.com/people/775/000023706/,,,On Golden Pond,Katharine Hepburn,,,,
670454659,FALSE,finalized,3,2/10/15 1:59,"Summit, Nj, United States, North America",1,22-Jun-49,1,White,1,Na,1,Straight,1,1983,1,Best Actress,http://www.nndb.com/people/001/000024926/,,,Sophie's Choice,Meryl Streep,,,,
670454660,FALSE,finalized,3,2/10/15 1:56,"Richmond, Va, United States, North America",1,24-Apr-34,1,White,1,Baptist,1,Straight,1,1984,1,Best Actress,http://www.nndb.com/people/799/000023730/,,,Terms of Endearment,Shirley MacLaine,,,,
670454661,FALSE,finalized,3,2/10/15 2:04,"Pasadena, Ca, United States, North America",1,6-Nov-46,0.6667,White,1,Na,1,Straight,1,1985,1,Best Actress,http://www.nndb.com/people/897/000022831/,,,Places in the Heart,Sally Field,,,,
670454662,FALSE,finalized,3,2/10/15 2:02,"Kirksville, Mo, United States, North America",1,22-Nov-24,1,White,1,Na,1,Straight,1,1986,1,Best Actress,http://www.nndb.com/people/780/000043651/,,,The Trip to Bountiful,Geraldine Page,,,,
670454663,FALSE,finalized,3,2/10/15 2:05,"Morton Grove, Il, United States, North America",1,24-Aug-65,1,White,1,Jewish,1,Straight,1,1987,1,Best Actress,http://www.nndb.com/people/870/000023801/,,,Children of a Lesser God,Marlee Matlin,,,,
670454664,FALSE,finalized,3,2/10/15 2:18,"El Centro, Ca, United States, North America",1,20-May-46,1,White,1,Na,1,Bisexual,1,1988,1,Best Actress,http://www.nndb.com/people/688/000022622/,,,Moonstruck,Cher,,,,
670454665,FALSE,finalized,3,2/10/15 3:57,"Los Angeles, Ca, United States, North America",1,19-Nov-62,1,White,1,Atheist,1,Lesbian,1,1989,1,Best Actress,http://www.nndb.com/people/756/000023687/,,,The Accused,Jodie Foster,,,,
670454667,FALSE,finalized,3,2/10/15 4:08,"Memphis, Tn, United States, North America",1,28-Jun-48,1,White,1,Na,1,Straight,1,1991,1,Best Actress,http://www.nndb.com/people/907/000024835/,,,Misery,Kathy Bates,,,,
670454668,FALSE,finalized,3,2/10/15 1:59,"Los Angeles, Ca, United States, North America",1,19-Nov-62,1,White,1,Atheist,1,Lesbian,1,1992,1,Best Actress,http://www.nndb.com/people/756/000023687/,,,The Silence of the Lambs,Jodie Foster,,,,
670454670,FALSE,finalized,3,2/10/15 2:03,"Conyers, Ga, United States, North America",1,20-Mar-58,1,White,1,Na,1,Straight,1,1994,1,Best Actress,http://www.nndb.com/people/566/000023497/,,,The Piano,Holly Hunter,,,,
670454671,FALSE,finalized,3,2/10/15 2:05,"Cloquet, Mn, United States, North America",1,20-Apr-49,1,White,1,Na,1,Straight,1,1995,1,Best Actress,http://www.nndb.com/people/004/000022935/,,,Blue Sky,Jessica Lange,,,,
670454672,FALSE,finalized,3,2/10/15 1:59,"Queens, Ny, United States, North America",1,4-Oct-46,1,White,1,Roman Catholic,1,Straight,1,1996,1,Best Actress,http://www.nndb.com/people/762/000024690/,,,Dead Man Walking,Susan Sarandon,,,,
670454673,FALSE,finalized,3,2/10/15 2:16,"Chicago, Il, United States, North America",1,23-Jun-57,1,White,1,Disciples of Christ,1,Straight,1,1997,1,Best Actress,http://www.nndb.com/people/517/000025442/,,,Fargo,Frances McDormand,,,,
670454674,FALSE,finalized,3,2/10/15 3:55,"Culver City, Ca, United States, North America",1,15-Jun-63,1,White,1,Na,1,Straight,1,1998,1,Best Actress,http://www.nndb.com/people/554/000023485/,,,As Good As It Gets,Helen Hunt,,,,
670454675,TRUE,golden,91,,"Los Angeles, Ca, United States, North America",1,27-Sep-72,1,White,1,Jewish,1,Straight,1,1999,1,Best Actress,http://www.nndb.com/people/592/000023523/,"Los Angeles, Ca",,Shakespeare in Love,Gwyneth Paltrow,,,,
670454676,FALSE,finalized,3,2/10/15 1:53,"Lincoln, Ne, United States, North America",1,30-Jul-74,1,White,1,Na,1,Straight,1,2000,1,Best Actress,http://www.nndb.com/people/333/000026255/,,,Boys Don't Cry,Hilary Swank,,,,
670454677,FALSE,finalized,3,2/10/15 2:00,"Smyrna, Ga, United States, North America",1,28-Oct-67,1,White,1,Hindu,1,Straight,1,2001,1,Best Actress,http://www.nndb.com/people/592/000022526/,,,Erin Brockovich,Julia Roberts,,,,
670454678,FALSE,finalized,3,2/10/15 2:14,"Cleveland, Oh, United States, North America",1,14-Aug-66,1,Multiracial,1,Na,1,Straight,1,2002,1,Best Actress,http://www.nndb.com/people/487/000023418/,,,Monster's Ball,Halle Berry,,,,
670454679,FALSE,finalized,3,2/10/15 1:55,"Honolulu, Hi, United States, North America",1,20-Jun-67,1,White,1,Roman Catholic,1,Straight,1,2003,1,Best Actress,http://www.nndb.com/people/917/000022851/,,,The Hours,Nicole Kidman,,,,
670454681,TRUE,golden,85,,"Lincoln, Ne, United States, North America",1,30-Jul-74,1,White,1,Na,1,Straight,1,2005,1,Best Actress,http://www.nndb.com/people/333/000026255/,,,Million Dollar Baby,Hilary Swank,,Na,,2005
670454682,FALSE,finalized,3,2/10/15 1:56,"New Orleans, La, United States, North America",1,22-Mar-76,1,White,1,Na,1,Straight,1,2006,1,Best Actress,http://www.nndb.com/people/813/000022747/,,,Walk the Line,Reese Witherspoon,,,,
670454686,FALSE,finalized,3,2/10/15 2:04,"Arlington, Va, United States, North America",1,26-Jul-64,1,White,1,Na,1,Straight,1,2010,1,Best Actress,http://www.nndb.com/people/601/000023532/,,,The Blind Side,Sandra Bullock,,,,
670454688,FALSE,finalized,3,2/10/15 1:58,"Summit, Nj, United States, North America",1,22-Jun-49,1,White,1,Na,1,Straight,1,2012,1,Best Actress,http://www.nndb.com/people/001/000024926/,,,The Iron Lady,Meryl Streep,,,,
670454689,FALSE,finalized,3,2/10/15 2:15,"Louisville, Ky, United States, North America",1,15-Aug-90,1,White,1,Na,1,Na,1,2013,0.6667,Best Actress,http://www.nndb.com/people/597/000272778/,,,Silver Linings Playbook,Jennifer Lawrence,,,,
670944094,FALSE,finalized,3,2/10/15 2:18,"Concord, Ca, United States, North America",1,9-Jul-56,1,White,1,Born-Again Christian,1,Straight,1,1994,1,Best Actor,http://www.nndb.com/people/687/000022621/,,,Philadelphia,Tom Hanks,,,,
670944948,FALSE,finalized,3,2/10/15 2:06,"Lincoln, Ne, United States, North America",1,30-Jul-74,1,White,1,Na,1,Straight,1,2005,1,Best Actress,http://www.nndb.com/people/333/000026255/,,,Million Dollar Baby,Hilary Swank,,,,
670945043,TRUE,golden,86,,"Lincoln, Ne, United States, North America",1,30-Jul-74,1,White,1,Na,1,Straight,1,2005,1,Best Actress,http://www.nndb.com/people/333/000026255/,,,Million Dollar Baby,Hilary Swank,,,,
670945693,FALSE,finalized,3,2/10/15 1:49,"Los Angeles, Ca, United States, North America",1,27-Sep-72,1,White,1,Jewish,1,Straight,1,1999,1,Best Actress,http://www.nndb.com/people/592/000023523/,,,Shakespeare in Love,Gwyneth Paltrow,,,,
